Date,Ticker,Close,rsi,volume_ratio,z_score
2024-06-19,HDFCBANK.NS,817.869873046875,71.25804316277525,1.9971058856453243,2.347230746136485
2024-06-25,HDFCBANK.NS,844.2631225585938,93.96929437711982,1.5567154102462142,2.043332511467699
2024-08-30,HDFCBANK.NS,807.5346069335938,45.4731200183265,8.049951326620173,0.3108110935845447
2024-11-25,HDFCBANK.NS,880.8929443359375,58.34769180371896,8.861869005484616,1.9487501103237386
2026-01-07,HDFCBANK.NS,949.0499877929688,30.891167745100475,2.839145165644005,-2.9882065038583683
2024-07-19,INFY.NS,1721.8092041015625,92.07586161237846,3.0331721795018596,2.035914841267056
2025-01-17,INFY.NS,1763.2672119140625,37.74196577991535,2.7205055201138193,-3.1012158669580936
2025-02-28,INFY.NS,1639.189208984375,13.699791817282602,2.3937500126494453,-2.6336907529388967
2025-05-12,INFY.NS,1580.136962890625,84.72170123073076,1.286670441384874,2.839088693920442
2025-12-22,INFY.NS,1689.5999755859375,79.33395890704662,2.8523183335184132,2.7577461976734825
2024-06-04,RELIANCE.NS,1387.0091552734375,46.57968101324857,2.831420384580355,-1.1937502610187811
2024-06-28,RELIANCE.NS,1553.89892578125,70.38658668744068,1.6541399640485075,2.4867371539383374
2024-08-29,RELIANCE.NS,1514.874755859375,77.95306258084341,3.5178313982795446,1.5948170392612022
2025-06-20,RELIANCE.NS,1460.367431640625,67.86927288821552,2.796621475644209,2.3309305588226725
2026-01-06,RELIANCE.NS,1507.5999755859375,41.654625019890005,3.1703330473625098,-2.3818549110065828
2024-05-31,TCS.NS,3467.677978515625,32.13920542038805,4.77349355288871,-2.6889091103827036
2024-07-12,TCS.NS,3952.272216796875,74.31292491858473,4.528624867688339,2.5984666786521258
2025-01-10,TCS.NS,4048.659423828125,56.596360157620204,3.4645787060794992,0.6003202874742832
2025-02-28,TCS.NS,3366.89306640625,6.227567747679387,2.8845846417327494,-2.2208151791206943
2025-07-11,TCS.NS,3184.959716796875,29.82282093021783,2.9393896284130387,-3.076827737148938
2024-06-04,^NSEI,21884.5,45.12368567364993,2.8490924022314728,-1.6047913226052535
2024-06-05,^NSEI,22620.349609375,55.07420185378332,1.7249064606324207,0.31177611012386813
2024-07-01,^NSEI,24141.94921875,87.84882844557589,0.0,1.4298631394296355
2024-07-02,^NSEI,24123.849609375,86.44149249971828,0.0,1.25558166130365
2025-02-28,^NSEI,22124.69921875,2.022396790907564,1.9531291516837015,-2.153270749775964
