Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-02,703.8206176757812,1594.2633056640625,1446.9901123046875,3719.638671875,21853.80078125,720.7085896391353,1617.941672001784,1464.0638152243819,3736.612908383376,22126.80078125,701.8252179588541,1567.5722338568344,1422.6453963923934,3631.2030759637855,21805.55078125,717.8614898495053,1568.5608388941694,1422.6453963923934,3634.063444426215,21812.75,44867754,7858483,19652588,2826510,442800.0
2024-02-05,703.1879272460938,1588.4732666015625,1428.452392578125,3726.203369140625,21771.69921875,706.6190857097415,1601.2304328815121,1459.6961190035063,3771.8747052852855,21964.30078125,697.931756543557,1583.4363454059862,1421.007495677393,3715.6999348975555,21726.94921875,703.7476277670278,1595.5815235195898,1450.0177530325548,3735.300087307631,21921.05078125,38605046,3634135,8814432,1691523,440800.0
2024-02-06,702.8228149414062,1628.2508544921875,1417.309814453125,3878.78564453125,21929.400390625,705.5482430083341,1631.5931715300217,1431.2565145548228,3891.821123658746,21951.400390625,697.2259293320517,1575.9984476716934,1409.3933108861847,3741.8652615279707,21737.55078125,703.5285448598157,1588.0494991796102,1431.2565145548228,3748.4299374253883,21825.19921875,41075740,7694265,9047984,4474396,371000.0
2024-02-07,695.9362182617188,1594.639892578125,1431.554443359375,3829.4560546875,21930.5,707.5437201567751,1627.8272320398985,1438.8504181404362,3896.603391231385,22053.30078125,694.330191039234,1588.1436244214153,1418.7491963623445,3820.593789517031,21860.150390625,707.1543478186637,1627.8272320398985,1425.3752031215413,3894.7277698637645,22045.05078125,54837086,4613877,9296568,2124267,346300.0
2024-02-08,682.844482421875,1593.0865478515625,1439.4708251953125,3877.00341796875,21717.94921875,700.3164537570308,1606.5027074369461,1448.752105824393,3899.417002760364,22011.05078125,681.6034099643059,1584.330807394356,1417.0368932886952,3831.9415667460817,21665.30078125,695.8876252029665,1598.6413316478238,1439.3467435794867,3835.6458733260915,22009.650390625,69106124,5919715,14694634,2345173,491100.0
2024-02-09,683.112060546875,1571.6678466796875,1450.0177001953125,3876.628173828125,21782.5,688.2709172654594,1593.8398627770964,1461.1602045826953,3924.503225662895,21804.44921875,675.033089526087,1562.6767345444794,1440.2896534634558,3845.0237708866407,21629.900390625,677.5395328507874,1586.1196173859878,1443.31729322881,3879.300567921934,21727.0,56642124,4600004,12556798,2100596,349200.0
2024-02-12,676.4931640625,1581.788818359375,1441.679443359375,3864.43701171875,21616.05078125,688.0032934481292,1593.8868768043424,1450.2659153474917,3900.9177589811775,21831.69921875,673.2566920790741,1572.6093402312206,1431.7529141646626,3850.228812262782,21574.75,681.18969323455,1572.6093402312206,1450.017752117624,3873.1584686878864,21800.80078125,34447812,3555808,6674430,1013716,287400.0
2024-02-13,678.658935546875,1585.978271484375,1454.3358154296875,3891.4453125,21743.25,683.4771364619307,1590.2619583832927,1468.1337156942297,3910.670430925413,21766.80078125,673.7434212435891,1566.1599704025425,1443.3173918995335,3827.674187966924,21543.349609375,677.4422211445823,1584.518924068217,1444.8063713272154,3868.8911494158424,21664.30078125,57580994,2696481,7715594,1257415,365800.0
2024-02-14,673.597412109375,1568.7021484375,1470.4912109375,3845.117919921875,21840.05078125,677.2231970540489,1571.761974467885,1472.749520552248,3858.9973357555955,21870.849609375,663.6203545889955,1539.7986069829612,1446.7916226083244,3797.6646047310915,21530.19921875,669.6795681971766,1563.053238842943,1446.7916226083244,3851.588722467118,21578.150390625,91320810,3768579,7117888,1391283,359100.0
2024-02-15,688.197998046875,1578.258056640625,1459.7952880859375,3848.02490234375,21910.75,688.903668609651,1588.9910065851047,1473.8165098910026,3888.444175657724,21953.849609375,673.7433958465795,1564.3711555313787,1455.750276105359,3829.0809437517446,21794.80078125,674.0597534612269,1578.870044759722,1472.4516121931645,3871.282423660838,21906.55078125,41584944,4834391,10006782,1091582,345400.0
2024-02-16,691.0451049804688,1602.0777587890625,1449.843994140625,3871.563720703125,22040.69921875,694.8412181662663,1608.9976496273255,1466.1483668657747,3889.9920672478725,22068.650390625,685.4725175238648,1589.1793470591608,1447.8339689108675,3845.1177337734257,21968.94921875,692.9918479710976,1590.1679521477781,1465.6271998466532,3857.4498528668705,22020.30078125,32175742,4880654,9767498,1307556,343900.0
2024-02-19,689.6823120117188,1600.2886962890625,1463.17041015625,3848.58740234375,22122.25,695.4738838784058,1611.3511420495545,1468.6300012389227,3871.5637647018066,22186.650390625,688.7575972750415,1588.9437591339633,1442.8458657695369,3802.8224229354896,22021.05078125,695.4738838784058,1605.2314912033248,1451.3082561823699,3866.640258482223,22103.44921875,34451756,3690993,6729828,772291,0.0
2024-02-20,707.787109375,1586.637451171875,1460.2174072265625,3779.986328125,22196.94921875,709.222808572302,1595.110815397092,1464.659505178025,3843.1479657037125,22215.599609375,687.102965017942,1571.1029500923107,1451.0602075132595,3760.620630178596,22045.849609375,688.6603356526384,1586.4020799433968,1464.1880192365334,3828.236868254403,22099.19921875,56133508,3706389,7117496,1193648,295700.0
2024-02-21,700.413818359375,1558.6754150390625,1456.916748046875,3743.271728515625,22055.05078125,712.5079475266035,1576.0457659509111,1477.5888193115914,3810.6535246443304,22249.400390625,698.3940605878935,1549.0251945486223,1446.8414171157522,3733.0496825963114,21997.94921875,712.5079475266035,1576.0457659509111,1463.170510366537,3763.4346602864093,22248.849609375,45893136,4300508,12720292,1885939,364500.0
2024-02-22,690.8748168945312,1582.9654541015625,1470.8634033203125,3832.92626953125,22217.44921875,695.3766603212918,1586.0252797181995,1474.0398440634356,3840.287946278356,22252.5,687.2976289140083,1548.1776365233488,1447.2878974462733,3724.0463538039667,21875.25,689.9987587340186,1567.5722005233338,1457.3633484018678,3724.0463538039667,22081.55078125,50560882,5841277,18493728,2982052,343500.0
2024-02-23,691.3857421875,1578.728759765625,1482.6512451171875,3800.103271484375,22212.69921875,697.85868621692,1599.0648084069708,1486.5474563697878,3873.1586419368527,22297.5,690.1203711604371,1574.0684559887509,1472.4517119404402,3794.757566705843,22186.099609375,692.334815015207,1597.6997014214783,1478.556551746289,3873.1586419368527,22290.0,29833452,5373072,14438584,2538072,226000.0
2024-02-26,692.213134765625,1563.0062255859375,1476.3974609375,3752.227783203125,22122.05078125,698.3210050066913,1576.9401335584062,1483.5446346905887,3798.1335740660365,22202.150390625,687.9546346452112,1548.742705946912,1471.607959051116,3735.0658005213595,22075.150390625,687.9546346452112,1576.9401335584062,1482.5768223248915,3785.004223439635,22169.19921875,23506870,2782438,7513106,1379284,207800.0
2024-02-27,691.1668090820312,1566.254150390625,1474.73486328125,3849.150146484375,22198.349609375,694.3545652339111,1573.315286661556,1488.9297276070065,3867.5313277921664,22218.25,687.7113519923358,1556.0861831168934,1467.1907251784094,3750.3049902620937,22085.650390625,687.9546948776648,1563.8063128021718,1472.1291493159843,3750.3049902620937,22090.19921875,32087150,5159088,10826044,2960475,252200.0
2024-02-28,685.9348754882812,1573.45654296875,1444.930419921875,3862.79541015625,21951.150390625,693.1377886016653,1589.0381630824766,1480.3185210789975,3896.5094287124366,22229.150390625,683.3067606806109,1564.7949283890164,1439.5205099276588,3834.7077976577866,21915.849609375,691.1667470533215,1572.2796869156693,1472.1042938560004,3840.897439611253,22214.099609375,25321986,3188916,8647950,1939225,203000.0
2024-02-29,683.0147705078125,1575.951416015625,1450.0675048828125,3840.428466796875,21982.80078125,686.4215706434694,1583.8127910418666,1468.1088998815815,3880.7543245620564,22060.55078125,680.0459994144303,1556.5568522895687,1443.8385832706604,3811.778305779147,21860.650390625,682.3820552900959,1567.5721783829442,1454.2365988812116,3844.0858367320416,21935.19921875,53295700,7814722,23628976,3772719,360200.0
2024-03-01,696.3256225585938,1557.8748779296875,1481.1622314453125,3839.725341796875,22338.75,697.2989940386686,1574.1154909938598,1488.979373154373,3882.5363087877504,22353.30078125,681.360036052442,1554.3914300839626,1451.7548888255137,3832.6448252006635,22047.75,681.360036052442,1571.3381567596207,1452.7475417409498,3851.776300908435,22048.30078125,34738898,6387291,12132926,2043265,351500.0
2024-03-04,697.274658203125,1541.3990478515625,1496.3250732421875,3826.924072265625,22405.599609375,699.3674307159147,1567.0545116352562,1501.337897909408,3861.8105844645606,22440.900390625,693.186545384466,1538.0568453792753,1476.2982516112518,3822.4225351204777,22358.30078125,696.422958130924,1560.8407342180715,1479.5243736818861,3849.712918034811,22403.5,35616474,4445156,10024420,1749271,298800.0
2024-03-05,701.2411499023438,1512.495361328125,1489.1778564453125,3762.590576171875,22356.30078125,702.2875361451739,1541.5401450012134,1496.3250301461744,3811.2628621841086,22416.900390625,691.8968072809968,1508.2586796437324,1475.1319146195472,3732.4867597177044,22269.150390625,692.0671354112525,1538.386193843857,1494.7119691573153,3809.387240696813,22371.25,37991672,4596579,7107668,2070859,296200.0
2024-03-06,702.0928344726562,1522.8988037109375,1491.9573974609375,3811.5439453125,22474.05078125,707.0813632922424,1525.3466412368123,1497.9133152152726,3818.765041667535,22497.19921875,697.6883641851937,1483.7800637991031,1467.6373999640691,3712.2765944807757,22224.349609375,697.6883641851937,1509.0119027331223,1482.4775132325713,3745.662745858388,22327.5,42409530,6420684,7805676,1744204,312300.0
2024-03-07,703.7962646484375,1521.86328125,1468.059326171875,3853.08935546875,22493.55078125,706.205394802925,1533.1611004999932,1492.056638756749,3867.5315494972733,22525.650390625,701.5088653436588,1510.3300907656321,1464.7091224345347,3786.598435635506,22430.0,703.5042650748312,1522.004526976097,1491.9325571368477,3812.2007150112554,22505.30078125,49348046,6348359,8315726,2688905,379900.0
